# Wavelength (Angstroms), Moonlight, Continuum, Starlight, Zodiacal Light
7.288909999999999854e+03,1.327394457729740225e+02,2.001707016318871410e+02,4.497502113202272334e+00,7.030723198838333587e+01
7.544679999999999382e+03,1.294195841449986233e+02,2.162180548071082740e+02,3.677696091886150764e+00,6.380373119898676748e+01
7.563680000000000291e+03,6.353309318517435855e+01,2.173951728569122679e+02,3.595845545297818635e+00,5.873333786673708090e+01
7.593220000000000255e+03,9.462371613657930425e+01,2.075543160876422633e+02,3.472192324663916807e+00,5.163856666146587315e+01
7.608000000000000000e+03,7.533555637337174460e+01,1.867812740068619064e+02,2.466039337234339435e+00,4.197589839910074971e+01
7.856180000000000291e+03,1.140249787561168517e+02,2.845531011681491123e+02,3.904433885609311705e+00,6.862954295172383468e+01
8.175270000000000437e+03,1.011579454259898228e+02,3.675695282205325611e+02,3.628493745310914953e+00,6.707418941724408512e+01
8.503219999999999345e+03,9.015711376059570625e+01,4.874142650956450780e+02,3.391748794541598500e+00,6.458193698651963643e+01
8.793500000000000000e+03,8.260379495771788072e+01,5.542526104724400966e+02,3.210181585277426031e+00,6.314859499626318495e+01
9.004020000000000437e+03,7.345138681571151551e+01,5.716985528673814088e+02,3.088616613665446042e+00,5.957752175369399339e+01
9.380719999999999345e+03,5.727960309858292476e+01,5.804305883766099896e+02,2.535907262332354861e+00,5.211947111050805148e+01
9.668790000000000873e+03,5.559042572704036900e+01,6.397358880138440327e+02,2.623412796215065068e+00,5.573082583160537240e+01
9.934700000000000728e+03,5.520774392807573605e+01,7.117601133493794805e+02,2.587318957686690180e+00,5.772091846569336582e+01
1.026708000000000175e+04,5.260172663907062685e+01,7.783341237645551018e+02,2.464339057791369303e+00,5.660944974280292286e+01
1.055515000000000146e+04,4.864072056914616837e+01,7.732732420308770998e+02,2.283232381321080418e+00,5.458082221224685071e+01
1.082105999999999949e+04,4.477133041763625698e+01,8.574764913489256060e+02,2.130590014058199255e+00,5.256783586884724002e+01
1.107588999999999942e+04,4.008667176273028332e+01,6.012426448941761237e+02,1.913902936581234115e+00,4.881463765545887412e+01
1.128006999999999971e+04,3.162277660168379256e+01,4.873355135523897843e+02,1.560167756665299388e+00,4.574168714459410268e+01
1.133070999999999913e+04,2.691534803926915487e+01,5.023391728598646182e+02,1.531509826636207716e+00,4.501045092225771072e+01
1.153015000000000146e+04,3.435579478998746339e+01,5.929253245799999377e+02,1.573466570646079754e+00,4.390697710136120691e+01
1.177390000000000146e+04,3.672823004980845951e+01,5.942910999549721964e+02,1.694620912052034134e+00,4.518562104433392079e+01
1.206640000000000146e+04,3.491403154785860607e+01,3.926422154981444237e+02,1.624838420748514700e+00,4.676924047601739431e+01
1.236776000000000022e+04,3.372873086588688807e+01,3.240657213407267818e+02,1.502796503724251442e+00,4.667130873261062618e+01
1.263809999999999854e+04,2.971666031738026703e+01,3.108136306452079793e+02,1.371671599554248555e+00,4.470950484416016479e+01
1.289957000000000153e+04,3.013006024186121934e+01,3.217607013431338601e+02,1.370568566435433011e+00,4.352019892483022545e+01
1.316992000000000007e+04,2.824879974915707592e+01,3.448265555251740011e+02,1.265705370849936839e+00,3.793077553118163081e+01
1.336934999999999854e+04,2.449063241844745420e+01,3.722704947526153205e+02,1.081069111624725076e+00,2.945658042553764844e+01
1.366479999999999927e+04,1.345860354055948349e+01,1.479108388168207284e+02,2.080436887306832683e-01,2.187761623949553069e+01
1.370912000000000080e+04,8.491804750363138865e+00,1.479108388168207284e+02,2.123299042978422368e-01,2.187761623949553069e+01
1.377707000000000153e+04,4.395416154378245288e+00,1.479108388168207284e+02,2.531879927238976924e-01,2.187761623949553069e+01
